club_id,avg_age,squad_count
281,24.3,39
31,24,49
631,25.1,44
985,25.5,43
148,23.5,45
11,23.4,41
1003,25.1,40
405,24.2,44
29,25.5,42
543,24.4,38
379,26,36
1237,24.1,43
762,27.4,34
399,23.5,35
180,25.1,33
1148,24.3,38
873,25.9,33
1123,24.2,45
1010,25.8,47
1132,27.3,35
27,24.7,38
16,23.9,44
23826,23.9,34
15,24.6,35
82,25.3,37
18,25.4,31
24,25.2,36
533,24.9,40
60,25,32
79,23.5,39
44,24.7,45
39,24.9,34
89,26.6,40
3,25.4,31
167,25.5,32
10,24.6,34
80,27.3,33
65,24.6,34
506,25,43
46,27.2,36
5,25.3,37
6195,25.3,37
800,24.5,44
12,23.8,39
430,25.4,38
398,27.2,34
6574,25,43
416,24.8,41
1025,23.7,45
276,24.7,43
410,25,44
1390,25,46
1038,26.2,46
749,24.5,40
252,26.1,47
607,24.7,51
3522,23.6,34
380,25.9,51
583,25.7,41
1041,24.3,40
162,23.3,41
1082,24,41
273,22.9,36
244,23.5,38
417,23.8,34
826,24.8,35
1421,23.5,40
969,24.8,36
667,24.8,33
40,24,54
995,25.6,31
618,24,44
3911,25.5,30
347,25,41
1420,25.4,38
1095,24.6,50
1158,25.4,35
3524,25.1,39
418,25.7,36
131,25.1,47
13,25.3,43
1050,26,39
368,25.7,43
681,24.7,40
1049,23.6,44
150,27.4,38
621,25.7,31
3709,25.2,43
714,25.4,38
940,25.5,34
331,26.9,32
16795,26.5,39
3368,26.3,42
237,25.7,41
1531,27.4,37
2687,27.3,37
367,26.2,36
1108,25.1,43
